Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,70.590753
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de prairie IP Suisse,Lait cru,IP Suisse,Suisse,NA,Lait cru CH,Suisse,kg,Lait cru sans définition supplémentaire,Au départ de la ferme (échelon de la production),Production,76.338026
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,77.631932
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 5,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,77.900726
01-2024,NA,Centimes,Prix indicatif,IPL,NA,Prix,Lait et produits laitiers,"Lait conventionnel, total",Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment A,Production non définie,Production,79
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Lait CH, total",Lait cru,NA,Région 1,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,82.556085
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait transformé en fromage (conventionnel),Lait cru,Conventionnel,Région 2,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,74.247103
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait de centrale (conventionnel),Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,NA,Au départ de la ferme (échelon de la production),Production,70.657706
01-2024,Hors TVA,Centimes,Prix indicatif,IFE,NA,Prix,Lait et produits laitiers,Valeur de la matière première Lait Ife,Lait cru,NA,Non suisse,NA,"Lait cru, International",NA,kg,NA,Au départ de la ferme (échelon de la production),Production,39.986415
01-2024,TVA incluse,Centimes,Valeur réalisée,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Segment A,Lait cru,Conventionnel,Suisse,NA,Lait cru CH,Suisse,kg,segment A,Au départ de la ferme (échelon de la production),Production,77.889727
