"Date","System of production","Product origin","Product subgroup","Sales region","Price"
2024-01-01,"Conventional","Region 2","CH Milk ","Switzerland",70.590753
2024-01-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",76.338026
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",77.631932
2024-01-01,NA,"Region 5","CH Milk ","Switzerland",77.900726
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",79
2024-01-01,NA,"Region 1","CH Milk ","Switzerland",82.556085
2024-01-01,NA,"Italy","International Milk","Italy",46.177567
2024-01-01,"Conventional","Region 2","CH Milk ","Switzerland",74.247103
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",70.657706
2024-01-01,NA,"Rest of the world, non-Swiss","International Milk",NA,39.986415
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",77.889727
2024-01-01,"Conventional","Region 5","CH Milk ","Switzerland",81.830496
2024-01-01,"Bio","Region 2","CH Milk ","Switzerland",93.410291
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",79
2024-01-01,"Bio","Region 4","CH Milk ","Switzerland",90.300158
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",81.663383
2024-01-01,"Conventional","Region 1","CH Milk ","Switzerland",88.284719
2024-01-01,"Conventional","Region 1","CH Milk ","Switzerland",90.51042
2024-01-01,NA,"Switzerland","CH Milk ","Switzerland",75.620401
2024-01-01,"Conventional","Region 1","CH Milk ","Switzerland",72.593215
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",56
2024-01-01,"Conventional","Region 4","CH Milk ","Switzerland",69.622275
2024-01-01,"Conventional","Region 5","CH Milk ","Switzerland",67.203201
2024-01-01,NA,"Region 2","CH Milk ","Switzerland",73.592509
2024-01-01,NA,"Switzerland","CH Milk ","Switzerland",73.704095
2024-01-01,"Bio","Region 1","CH Milk ","Switzerland",91.855982
2024-01-01,NA,"Region 4","CH Milk ","Switzerland",73.608868
2024-01-01,"Conventional","Region 3","CH Milk ","Switzerland",70.578008
2024-01-01,"Conventional","Region 2","CH Milk ","Switzerland",74.710615
2024-01-01,"Conventional","Region 4","CH Milk ","Switzerland",76.504851
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",74.265611
2024-01-01,"Conventional","Region 5","CH Milk ","Switzerland",81.903918
2024-01-01,"Bio","Switzerland","CH Milk ","Switzerland",91.820345
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.988654
2024-01-01,"Conventional","Region 4","CH Milk ","Switzerland",73.583759
2024-01-01,NA,"Region 3","CH Milk ","Switzerland",73.023852
2024-01-01,"Conventional","Switzerland","CH Milk ","Switzerland",56
2023-12-01,NA,"Region 1","CH Milk ","Switzerland",84.196835
2023-12-01,"Conventional","Region 5","CH Milk ","Switzerland",80.437065
2023-12-01,NA,"France","International Milk","France",41.241983
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.734246
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.9
2023-12-01,"Conventional","Region 1","CH Milk ","Switzerland",91.748771
2023-12-01,"Bio","Region 1","CH Milk ","Switzerland",93.268873
2023-12-01,"Bio","Region 2","CH Milk ","Switzerland",93.876501
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",72.190893
2023-12-01,"Bio","Switzerland","CH Milk ","Switzerland",92.500537
2023-12-01,NA,"Italy","International Milk","Italy",51.044526
2023-12-01,NA,"New Zealand","International Milk","New Zealand",30.656551
2023-12-01,NA,"USA / Canada","International Milk","USA",39.323848
2023-12-01,"Bio","Region 4","CH Milk ","Switzerland",90.97805
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",83.831497
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.471822
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",56.9
2023-12-01,NA,"Switzerland","CH Milk ","Switzerland",77.138224
2023-12-01,"Conventional","Region 4","CH Milk ","Switzerland",78.73767
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.927129
2023-12-01,"Conventional","Region 1","CH Milk ","Switzerland",73.350736
2023-12-01,"Conventional","Region 5","CH Milk ","Switzerland",68.50966
2023-12-01,"Conventional","Region 2","CH Milk ","Switzerland",72.639358
2023-12-01,NA,"Switzerland","CH Milk ","Switzerland",75.256804
2023-12-01,NA,"Region 2","CH Milk ","Switzerland",75.315636
2023-12-01,"Conventional","Region 5","CH Milk ","Switzerland",80.362399
2023-12-01,"Conventional","Region 3","CH Milk ","Switzerland",72.094587
2023-12-01,"Conventional","Region 4","CH Milk ","Switzerland",74.913209
2023-12-01,"Conventional","Region 4","CH Milk ","Switzerland",70.923382
2023-12-01,"Conventional","Region 2","CH Milk ","Switzerland",75.737302
2023-12-01,"Conventional","Region 2","CH Milk ","Switzerland",75.987593
2023-12-01,NA,"Region 3","CH Milk ","Switzerland",74.399347
2023-12-01,NA,"Austria","International Milk","Austria",44.573322
2023-12-01,NA,"Rest of the world, non-Swiss","International Milk",NA,41.259355
2023-12-01,NA,"Germany","International Milk","Germany",41.297121
2023-12-01,NA,"Region 4","CH Milk ","Switzerland",74.72087
2023-12-01,NA,"EU","International Milk","EU-28",44.005887
2023-12-01,NA,"Region 5","CH Milk ","Switzerland",77.51059
2023-12-01,NA,"Italy","International Milk","Italy",44.915859
2023-12-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",78.060388
2023-12-01,"Conventional","Switzerland","CH Milk ","Switzerland",75.860162
2023-12-01,"Conventional","Region 1","CH Milk ","Switzerland",89.816579
2023-11-01,"Conventional","Region 5","CH Milk ","Switzerland",69.274022
2023-11-01,NA,"Rest of the world, non-Swiss","International Milk",NA,41.41932
2023-11-01,NA,"New Zealand","International Milk","New Zealand",30.457649
2023-11-01,"Conventional","Region 2","CH Milk ","Switzerland",71.865087
2023-11-01,"IP Suisse","Switzerland","CH Milk ","Switzerland",77.284277
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-11-01,NA,"France","International Milk","France",42.230079
2023-11-01,NA,"Germany","International Milk","Germany",41.21704
2023-11-01,NA,"USA / Canada","International Milk","USA",42.604105
2023-11-01,NA,"Italy","International Milk","Italy",53.823732
2023-11-01,NA,"Region 1","CH Milk ","Switzerland",84.019426
2023-11-01,NA,"Region 4","CH Milk ","Switzerland",74.9042
2023-11-01,"Conventional","Region 1","CH Milk ","Switzerland",73.491037
2023-11-01,"Bio","Switzerland","CH Milk ","Switzerland",93.039986
2023-11-01,"Bio","Region 1","CH Milk ","Switzerland",94.180952
2023-11-01,"Conventional","Region 1","CH Milk ","Switzerland",90.481068
2023-11-01,NA,"Region 2","CH Milk ","Switzerland",75.022342
2023-11-01,"Conventional","Region 4","CH Milk ","Switzerland",70.594134
2023-11-01,"Bio","Region 2","CH Milk ","Switzerland",94.058451
2023-11-01,"Conventional","Region 4","CH Milk ","Switzerland",78.369641
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.279324
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.3
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",79.545483
2023-11-01,NA,"EU","International Milk","EU-28",43.767121
2023-11-01,NA,"Italy","International Milk","Italy",45.824024
2023-11-01,"Conventional","Region 4","CH Milk ","Switzerland",75.106514
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",81
2023-11-01,"Conventional","Region 3","CH Milk ","Switzerland",71.273235
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",75.615881
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",71.733932
2023-11-01,NA,"Austria","International Milk","Austria",44.376467
2023-11-01,"Conventional","Region 5","CH Milk ","Switzerland",81.491139
2023-11-01,NA,"Switzerland","CH Milk ","Switzerland",75.083232
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",55.3
2023-11-01,"Conventional","Region 5","CH Milk ","Switzerland",81.461499
2023-11-01,"Conventional","Region 2","CH Milk ","Switzerland",75.711606
2023-11-01,"Conventional","Region 2","CH Milk ","Switzerland",75.593545
2023-11-01,"Conventional","Switzerland","CH Milk ","Switzerland",82.888836
2023-11-01,"Bio","Region 4","CH Milk ","Switzerland",91.688146
