"Date","System of production","Product origin","Price"
2024-01-01,"Conventional","Region 2",70.590753
2024-01-01,"Unknown","Region 5",77.900726
2024-01-01,"Unknown","Region 1",82.556085
2024-01-01,"Conventional","Region 2",74.247103
2024-01-01,"Conventional","Region 5",81.830496
2024-01-01,"Bio","Region 2",93.410291
2024-01-01,"Bio","Region 4",90.300158
2024-01-01,"Conventional","Region 1",88.284719
2024-01-01,"Conventional","Region 1",90.51042
2024-01-01,"Conventional","Region 1",72.593215
2024-01-01,"Conventional","Region 4",69.622275
2024-01-01,"Conventional","Region 5",67.203201
2024-01-01,"Unknown","Region 2",73.592509
2024-01-01,"Bio","Region 1",91.855982
2024-01-01,"Unknown","Region 4",73.608868
2024-01-01,"Conventional","Region 3",70.578008
2024-01-01,"Conventional","Region 2",74.710615
2024-01-01,"Conventional","Region 4",76.504851
2024-01-01,"Conventional","Region 5",81.903918
2024-01-01,"Conventional","Region 4",73.583759
2024-01-01,"Unknown","Region 3",73.023852
2023-12-01,"Unknown","Region 1",84.196835
2023-12-01,"Conventional","Region 5",80.437065
2023-12-01,"Conventional","Region 1",91.748771
2023-12-01,"Bio","Region 1",93.268873
2023-12-01,"Bio","Region 2",93.876501
2023-12-01,"Bio","Region 4",90.97805
2023-12-01,"Conventional","Region 4",78.73767
2023-12-01,"Conventional","Region 1",73.350736
2023-12-01,"Conventional","Region 5",68.50966
2023-12-01,"Conventional","Region 2",72.639358
2023-12-01,"Unknown","Region 2",75.315636
2023-12-01,"Conventional","Region 5",80.362399
2023-12-01,"Conventional","Region 3",72.094587
2023-12-01,"Conventional","Region 4",74.913209
2023-12-01,"Conventional","Region 4",70.923382
2023-12-01,"Conventional","Region 2",75.737302
2023-12-01,"Conventional","Region 2",75.987593
2023-12-01,"Unknown","Region 3",74.399347
2023-12-01,"Unknown","Region 4",74.72087
2023-12-01,"Unknown","Region 5",77.51059
2023-12-01,"Conventional","Region 1",89.816579
2023-11-01,"Conventional","Region 5",69.274022
2023-11-01,"Conventional","Region 2",71.865087
2023-11-01,"Unknown","Region 1",84.019426
2023-11-01,"Unknown","Region 4",74.9042
2023-11-01,"Conventional","Region 1",73.491037
2023-11-01,"Bio","Region 1",94.180952
2023-11-01,"Conventional","Region 1",90.481068
2023-11-01,"Unknown","Region 2",75.022342
2023-11-01,"Conventional","Region 4",70.594134
2023-11-01,"Bio","Region 2",94.058451
2023-11-01,"Conventional","Region 4",78.369641
2023-11-01,"Conventional","Region 4",75.106514
2023-11-01,"Conventional","Region 3",71.273235
2023-11-01,"Conventional","Region 5",81.491139
2023-11-01,"Conventional","Region 5",81.461499
2023-11-01,"Conventional","Region 2",75.711606
2023-11-01,"Conventional","Region 2",75.593545
2023-11-01,"Bio","Region 4",91.688146
2023-11-01,"Unknown","Region 5",77.994441
2023-11-01,"Conventional","Region 1",88.643842
2023-11-01,"Unknown","Region 3",73.811543
2023-10-01,"Unknown","Region 1",83.58346
2023-10-01,"Conventional","Region 1",73.074072
2023-10-01,"Bio","Region 4",92.872577
2023-10-01,"Unknown","Region 4",75.973174
2023-10-01,"Conventional","Region 4",72.263997
2023-10-01,"Conventional","Region 5",69.973088
2023-10-01,"Bio","Region 1",95.789791
2023-10-01,"Conventional","Region 2",77.228365
2023-10-01,"Unknown","Region 5",78.319044
2023-10-01,"Bio","Region 2",98.9663
2023-10-01,"Conventional","Region 1",90.160188
2023-10-01,"Conventional","Region 5",82.872439
2023-10-01,"Conventional","Region 2",76.296548
2023-10-01,"Conventional","Region 5",82.982894
2023-10-01,"Conventional","Region 1",88.316559
2023-10-01,"Unknown","Region 3",75.794391
2023-10-01,"Conventional","Region 4",75.569517
2023-10-01,"Conventional","Region 2",73.607506
2023-10-01,"Unknown","Region 2",76.939651
2023-10-01,"Conventional","Region 3",73.131444
2023-10-01,"Conventional","Region 4",77.562198
2023-09-01,"Unknown","Region 1",84.225274
2023-09-01,"Conventional","Region 3",73.995228
2023-09-01,"Conventional","Region 2",75.485687
2023-09-01,"Conventional","Region 4",73.4151
2023-09-01,"Conventional","Region 2",76.822522
2023-09-01,"Unknown","Region 3",76.255575
2023-09-01,"Conventional","Region 1",89.570972
2023-09-01,"Conventional","Region 5",72.281903
2023-09-01,"Conventional","Region 4",76.964025
2023-09-01,"Conventional","Region 1",91.275483
2023-09-01,"Conventional","Region 4",78.49719
2023-09-01,"Conventional","Region 1",73.907953
2023-09-01,"Unknown","Region 5",79.497896
2023-09-01,"Bio","Region 2",98.217173
2023-09-01,"Conventional","Region 5",82.262479
2023-09-01,"Conventional","Region 5",82.329667
2023-09-01,"Conventional","Region 2",73.616888
2023-09-01,"Unknown","Region 2",76.690868
2023-09-01,"Bio","Region 4",95.186771
2023-09-01,"Unknown","Region 4",76.979583
2023-09-01,"Bio","Region 1",95.742637
2023-08-01,"Bio","Region 2",97.821296
2023-08-01,"Unknown","Region 2",76.182519
2023-08-01,"Conventional","Region 1",73.873699
2023-08-01,"Conventional","Region 4",74.018376
2023-08-01,"Conventional","Region 1",89.770737
2023-08-01,"Conventional","Region 5",86.509813
2023-08-01,"Unknown","Region 1",83.040494
2023-08-01,"Conventional","Region 5",72.704071
2023-08-01,"Conventional","Region 2",73.271764
